code_insee_commune_actualise,etiquette_dpe,etiquette_ges,type_batiment,annee_construction,surface_habitable_logement,consommation_energie_primaire,date_reception_dpe,region_code,source
77131,F,D,appartement,1953,60.2,337.0,2021-07-01,11,simule_distributions_ademe_2023
77140,E,G,maison,1982,31.6,360.0,2021-07-01,11,simule_distributions_ademe_2023
91015,E,G,appartement,1982,48.9,648.0,2021-07-01,11,simule_distributions_ademe_2023
78346,C,G,appartement,1997,54.9,298.0,2021-07-01,11,simule_distributions_ademe_2023
93186,B,E,maison,1990,45.0,131.0,2021-07-02,11,simule_distributions_ademe_2023
92077,F,D,maison,1932,86.5,340.0,2021-07-02,11,simule_distributions_ademe_2023
92102,D,D,maison,1991,54.3,248.0,2021-07-02,11,simule_distributions_ademe_2023
94387,D,D,appartement,1979,82.9,231.0,2021-07-02,11,simule_distributions_ademe_2023
78318,C,E,maison,2015,59.0,163.0,2021-07-03,11,simule_distributions_ademe_2023
93361,D,G,maison,1980,119.1,289.0,2021-07-03,11,simule_distributions_ademe_2023
92051,D,D,maison,1980,76.3,298.0,2021-07-03,11,simule_distributions_ademe_2023
91342,E,F,maison,1985,62.2,339.0,2021-07-03,11,simule_distributions_ademe_2023
94339,F,D,maison,1937,247.9,629.0,2021-07-04,11,simule_distributions_ademe_2023
75019,E,C,appartement,1985,60.2,532.0,2021-07-04,11,simule_distributions_ademe_2023
95215,D,E,appartement,1992,94.2,202.0,2021-07-04,11,simule_distributions_ademe_2023
93379,C,G,appartement,1994,90.9,242.0,2021-07-04,11,simule_distributions_ademe_2023
91197,E,G,appartement,1976,52.8,644.0,2021-07-05,11,simule_distributions_ademe_2023
94251,D,E,appartement,1966,66.6,325.0,2021-07-05,11,simule_distributions_ademe_2023
94280,B,D,appartement,1985,103.0,128.0,2021-07-05,11,simule_distributions_ademe_2023
94300,E,E,appartement,1989,33.8,655.0,2021-07-05,11,simule_distributions_ademe_2023
78369,D,D,maison,1983,54.9,156.0,2021-07-06,11,simule_distributions_ademe_2023
92278,C,E,maison,1992,61.5,182.0,2021-07-06,11,simule_distributions_ademe_2023
91161,B,D,maison,1998,124.5,105.0,2021-07-06,11,simule_distributions_ademe_2023
95297,D,D,maison,1972,58.9,215.0,2021-07-06,11,simule_distributions_ademe_2023
78009,B,C,maison,1991,79.6,113.0,2021-07-07,11,simule_distributions_ademe_2023
91138,E,D,maison,1981,41.9,532.0,2021-07-07,11,simule_distributions_ademe_2023
92095,B,D,immeuble,1996,27.6,96.0,2021-07-07,11,simule_distributions_ademe_2023
92274,D,E,maison,1990,49.2,298.0,2021-07-07,11,simule_distributions_ademe_2023
91363,D,D,maison,1971,84.0,209.0,2021-07-08,11,simule_distributions_ademe_2023
