code_insee_commune_actualise,etiquette_dpe,etiquette_ges,type_batiment,annee_construction,surface_habitable_logement,consommation_energie_primaire,date_reception_dpe,region_code,source
62276,E,D,maison,1985,71.6,644.0,2021-07-01,32,simule_distributions_ademe_2023
02199,E,D,maison,1990,68.9,335.0,2021-07-01,32,simule_distributions_ademe_2023
80156,B,E,appartement,1994,89.0,115.0,2021-07-01,32,simule_distributions_ademe_2023
80022,D,B,immeuble,1975,40.6,222.0,2021-07-01,32,simule_distributions_ademe_2023
80053,F,E,maison,1930,46.9,546.0,2021-07-02,32,simule_distributions_ademe_2023
02079,D,F,appartement,1981,34.2,214.0,2021-07-02,32,simule_distributions_ademe_2023
60021,F,C,maison,1923,34.3,682.0,2021-07-02,32,simule_distributions_ademe_2023
62226,D,D,maison,1967,166.2,303.0,2021-07-02,32,simule_distributions_ademe_2023
80346,E,G,maison,1974,39.5,491.0,2021-07-03,32,simule_distributions_ademe_2023
60275,D,F,appartement,1968,93.0,221.0,2021-07-03,32,simule_distributions_ademe_2023
59329,C,E,maison,1999,18.0,298.0,2021-07-03,32,simule_distributions_ademe_2023
80083,C,B,maison,1999,63.3,211.0,2021-07-03,32,simule_distributions_ademe_2023
62204,D,C,maison,1992,61.2,219.0,2021-07-04,32,simule_distributions_ademe_2023
59053,D,E,maison,1968,36.8,301.0,2021-07-04,32,simule_distributions_ademe_2023
02278,G,E,maison,1929,80.9,497.0,2021-07-04,32,simule_distributions_ademe_2023
02263,D,E,maison,1994,57.1,156.0,2021-07-04,32,simule_distributions_ademe_2023
59037,G,G,appartement,1953,120.1,587.0,2021-07-05,32,simule_distributions_ademe_2023
62080,E,F,appartement,1982,74.4,404.0,2021-07-05,32,simule_distributions_ademe_2023
62374,F,G,maison,1945,118.5,409.0,2021-07-05,32,simule_distributions_ademe_2023
59212,D,E,maison,1975,113.7,274.0,2021-07-05,32,simule_distributions_ademe_2023
60222,C,E,appartement,1997,63.3,220.0,2021-07-06,32,simule_distributions_ademe_2023
80018,F,E,maison,1942,41.1,676.0,2021-07-06,32,simule_distributions_ademe_2023
02246,G,G,appartement,1929,47.4,563.0,2021-07-06,32,simule_distributions_ademe_2023
62293,D,C,appartement,1982,74.8,215.0,2021-07-06,32,simule_distributions_ademe_2023
62214,D,C,immeuble,1967,66.8,154.0,2021-07-07,32,simule_distributions_ademe_2023
60365,F,G,appartement,1970,55.5,339.0,2021-07-07,32,simule_distributions_ademe_2023
60164,D,D,maison,1984,86.8,254.0,2021-07-07,32,simule_distributions_ademe_2023
02056,C,D,appartement,2015,54.7,267.0,2021-07-07,32,simule_distributions_ademe_2023
59317,D,G,maison,1986,114.9,186.0,2021-07-08,32,simule_distributions_ademe_2023
80077,F,E,appartement,1923,23.6,481.0,2021-07-08,32,simule_distributions_ademe_2023
80240,E,G,maison,1975,50.5,479.0,2021-07-08,32,simule_distributions_ademe_2023
62107,D,C,maison,1970,54.1,295.0,2021-07-08,32,simule_distributions_ademe_2023
62256,F,E,maison,1960,137.4,655.0,2021-07-09,32,simule_distributions_ademe_2023
62098,F,A,appartement,1931,61.8,361.0,2021-07-09,32,simule_distributions_ademe_2023
60128,D,E,maison,1982,125.8,297.0,2021-07-09,32,simule_distributions_ademe_2023
80040,G,E,maison,1944,95.3,558.0,2021-07-09,32,simule_distributions_ademe_2023
59162,E,D,appartement,1992,100.6,464.0,2021-07-10,32,simule_distributions_ademe_2023
60381,B,E,appartement,1989,30.3,73.0,2021-07-10,32,simule_distributions_ademe_2023
59131,C,F,maison,2014,33.5,168.0,2021-07-10,32,simule_distributions_ademe_2023
02188,F,D,maison,1973,59.3,574.0,2021-07-10,32,simule_distributions_ademe_2023
59309,E,E,maison,1967,117.8,348.0,2021-07-11,32,simule_distributions_ademe_2023
60134,D,A,maison,1983,80.5,178.0,2021-07-11,32,simule_distributions_ademe_2023
80006,E,D,maison,1975,50.8,387.0,2021-07-11,32,simule_distributions_ademe_2023
02067,F,E,appartement,1947,83.3,453.0,2021-07-12,32,simule_distributions_ademe_2023
59386,F,C,appartement,1971,63.3,370.0,2021-07-12,32,simule_distributions_ademe_2023
80004,D,E,appartement,1966,38.6,202.0,2021-07-12,32,simule_distributions_ademe_2023
60177,E,B,maison,1972,85.0,509.0,2021-07-12,32,simule_distributions_ademe_2023
60005,G,F,maison,1941,47.3,597.0,2021-07-13,32,simule_distributions_ademe_2023
62307,C,G,maison,2001,22.6,255.0,2021-07-13,32,simule_distributions_ademe_2023
02019,G,C,immeuble,1949,100.3,389.0,2021-07-13,32,simule_distributions_ademe_2023
60175,B,F,maison,1993,43.2,118.0,2021-07-13,32,simule_distributions_ademe_2023
59397,F,F,appartement,1954,39.3,416.0,2021-07-14,32,simule_distributions_ademe_2023
60049,G,C,appartement,1934,64.5,475.0,2021-07-14,32,simule_distributions_ademe_2023
02071,D,D,maison,1980,113.2,255.0,2021-07-14,32,simule_distributions_ademe_2023
80146,E,C,immeuble,1982,56.0,416.0,2021-07-14,32,simule_distributions_ademe_2023
62262,G,B,appartement,1931,74.8,672.0,2021-07-15,32,simule_distributions_ademe_2023
60138,D,G,maison,1970,56.7,237.0,2021-07-15,32,simule_distributions_ademe_2023
80276,E,C,appartement,1992,122.5,545.0,2021-07-15,32,simule_distributions_ademe_2023
80315,F,G,appartement,1927,41.0,357.0,2021-07-15,32,simule_distributions_ademe_2023
59036,D,D,maison,1989,55.0,328.0,2021-07-16,32,simule_distributions_ademe_2023
02204,D,F,appartement,1969,128.8,250.0,2021-07-16,32,simule_distributions_ademe_2023
60100,F,E,maison,1955,209.0,691.0,2021-07-16,32,simule_distributions_ademe_2023
62366,F,E,appartement,1967,36.0,482.0,2021-07-16,32,simule_distributions_ademe_2023
80231,B,E,appartement,2019,74.3,73.0,2021-07-17,32,simule_distributions_ademe_2023
02357,D,G,maison,1986,44.2,206.0,2021-07-17,32,simule_distributions_ademe_2023
60270,E,B,appartement,1969,65.6,449.0,2021-07-17,32,simule_distributions_ademe_2023
60330,C,F,appartement,2008,33.7,317.0,2021-07-17,32,simule_distributions_ademe_2023
59209,E,C,appartement,1971,75.6,548.0,2021-07-18,32,simule_distributions_ademe_2023
59215,B,D,maison,2011,61.5,84.0,2021-07-18,32,simule_distributions_ademe_2023
59093,F,C,appartement,1960,31.6,415.0,2021-07-18,32,simule_distributions_ademe_2023
80299,C,F,maison,2002,54.2,242.0,2021-07-18,32,simule_distributions_ademe_2023
62097,G,B,maison,1964,39.7,421.0,2021-07-19,32,simule_distributions_ademe_2023
60074,D,D,maison,1967,47.7,267.0,2021-07-19,32,simule_distributions_ademe_2023
62338,E,E,maison,1973,105.3,431.0,2021-07-19,32,simule_distributions_ademe_2023
62023,F,C,appartement,1925,58.6,508.0,2021-07-19,32,simule_distributions_ademe_2023
02079,E,E,maison,1993,37.1,582.0,2021-07-20,32,simule_distributions_ademe_2023
02283,B,E,appartement,1998,38.6,145.0,2021-07-20,32,simule_distributions_ademe_2023
60143,C,F,appartement,1993,55.6,198.0,2021-07-20,32,simule_distributions_ademe_2023
59127,D,B,appartement,1970,72.9,165.0,2021-07-20,32,simule_distributions_ademe_2023
